Filename,Size (Bytes),Day/Night,width,height
IMAG1741.JPG,1886371,Day,4000,3000
IMAG0147.JPG,2397123,Day,4000,3000
IMAG1244.JPG,2407049,Day,4000,3000
IMAG0129.JPG,2121316,Day,4000,3000
IMAG0019.JPG,2377784,Day,4000,3000
IMAG0931.JPG,2250334,Day,4000,3000
IMAG1142.JPG,2149251,Day,4000,3000
IMAG0723.JPG,2419267,Day,4000,3000
IMAG1379.JPG,2470470,Day,4000,3000
IMAG0825.JPG,2298052,Day,4000,3000
IMAG0175.JPG,2493824,Day,4000,3000
IMAG1056.JPG,2334087,Day,4000,3000
IMAG0470.JPG,2316708,Day,4000,3000
IMAG1679.JPG,1827238,Day,4000,3000
IMAG0782.JPG,1908013,Night,4000,3000
IMAG1514.JPG,2302001,Day,4000,3000
IMAG0528.JPG,2316799,Day,4000,3000
IMAG1639.JPG,2542074,Day,4000,3000
IMAG1060.JPG,2382075,Day,4000,3000
IMAG1308.JPG,2489786,Day,4000,3000
IMAG1408.JPG,2385847,Day,4000,3000
IMAG1493.JPG,2352906,Day,4000,3000
IMAG1749.JPG,1950149,Day,4000,3000
IMAG1923.JPG,1114604,Night,4000,3000
IMAG1626.JPG,1691970,Day,4000,3000
IMAG0606.JPG,2380235,Day,4000,3000
IMAG0875.JPG,2401192,Day,4000,3000
IMAG1698.JPG,1886619,Day,4000,3000
IMAG1864.JPG,2667544,Day,4000,3000
IMAG1092.JPG,1477636,Day,4000,3000
IMAG0978.JPG,2188532,Day,4000,3000
IMAG0795.JPG,2089885,Day,4000,3000
IMAG1456.JPG,2635626,Day,4000,3000
IMAG0391.JPG,2520035,Day,4000,3000
IMAG0253.JPG,2609807,Day,4000,3000
IMAG1740.JPG,1917062,Day,4000,3000
IMAG0038.JPG,2359074,Day,4000,3000
IMAG0881.JPG,2416175,Day,4000,3000
IMAG0862.JPG,2498345,Day,4000,3000
IMAG0713.JPG,2404749,Day,4000,3000
IMAG0530.JPG,2318201,Day,4000,3000
IMAG1333.JPG,2316192,Day,4000,3000
IMAG1277.JPG,2090804,Day,4000,3000
IMAG0873.JPG,2669832,Day,4000,3000
IMAG1533.JPG,2345764,Day,4000,3000
IMAG0185.JPG,2543175,Day,4000,3000
IMAG1931.JPG,1094475,Night,4000,3000
IMAG1916.JPG,1111765,Night,4000,3000
IMAG0930.JPG,2174722,Day,4000,3000
IMAG1055.JPG,2413985,Day,4000,3000
IMAG0776.JPG,2055285,Night,4000,3000
IMAG1780.JPG,1928481,Day,4000,3000
IMAG0356.JPG,2329226,Day,4000,3000
IMAG0058.JPG,2208412,Day,4000,3000
IMAG1721.JPG,1494116,Day,4000,3000
IMAG1231.JPG,2334643,Day,4000,3000
IMAG0616.JPG,2400358,Day,4000,3000
IMAG0675.JPG,2479388,Day,4000,3000
IMAG1172.JPG,2559118,Day,4000,3000
IMAG1615.JPG,2270499,Day,4000,3000
IMAG1764.JPG,1772975,Day,4000,3000
IMAG1471.JPG,2299544,Day,4000,3000
IMAG0210.JPG,2053717,Day,4000,3000
IMAG0156.JPG,2424088,Day,4000,3000
IMAG0983.JPG,2007827,Day,4000,3000
IMAG1520.JPG,2332348,Day,4000,3000
IMAG1058.JPG,2525838,Day,4000,3000
IMAG1973.JPG,1154896,Night,4000,3000
IMAG0164.JPG,2568089,Day,4000,3000
IMAG1195.JPG,2423440,Day,4000,3000
IMAG1469.JPG,2307454,Day,4000,3000
IMAG0763.JPG,1850889,Night,4000,3000
IMAG1569.JPG,2398463,Day,4000,3000
IMAG1120.JPG,1506037,Day,4000,3000
IMAG1656.JPG,2423241,Day,4000,3000
IMAG1078.JPG,2241217,Day,4000,3000
IMAG1765.JPG,1755025,Day,4000,3000
IMAG1403.JPG,2460537,Day,4000,3000
IMAG0884.JPG,1873009,Day,4000,3000
IMAG1951.JPG,1093229,Night,4000,3000
IMAG0599.JPG,2306391,Day,4000,3000
IMAG0241.JPG,2355933,Day,4000,3000
IMAG1522.JPG,2395288,Day,4000,3000
IMAG0774.JPG,2005881,Night,4000,3000
IMAG0917.JPG,2434531,Day,4000,3000
IMAG1221.JPG,2359892,Day,4000,3000
IMAG0315.JPG,2404187,Day,4000,3000
IMAG0227.JPG,2409410,Day,4000,3000
IMAG1489.JPG,2353441,Day,4000,3000
IMAG0360.JPG,2330764,Day,4000,3000
IMAG0007.JPG,2078662,Day,4000,3000
IMAG1674.JPG,1695622,Day,4000,3000
IMAG0061.JPG,2104522,Day,4000,3000
IMAG1049.JPG,2515627,Day,4000,3000
IMAG1588.JPG,2294889,Day,4000,3000
IMAG1913.JPG,1148569,Night,4000,3000
IMAG0346.JPG,2093190,Day,4000,3000
IMAG1755.JPG,1427659,Day,4000,3000
IMAG0635.JPG,2410421,Day,4000,3000
IMAG1047.JPG,2219560,Day,4000,3000
IMAG1189.JPG,2258806,Day,4000,3000
IMAG1116.JPG,1605262,Day,4000,3000
IMAG1629.JPG,1689366,Day,4000,3000
IMAG1217.JPG,2386124,Day,4000,3000
IMAG0974.JPG,2200240,Day,4000,3000
IMAG0842.JPG,1885357,Day,4000,3000
IMAG1405.JPG,2385704,Day,4000,3000
IMAG0307.JPG,2370619,Day,4000,3000
IMAG0967.JPG,2045632,Day,4000,3000
IMAG1455.JPG,2640584,Day,4000,3000
IMAG1551.JPG,2594911,Day,4000,3000
IMAG0689.JPG,2396179,Day,4000,3000
IMAG0060.JPG,2172060,Day,4000,3000
IMAG1316.JPG,2790115,Day,4000,3000
IMAG1566.JPG,2562700,Day,4000,3000
IMAG0122.JPG,2525190,Day,4000,3000
IMAG0847.JPG,2446189,Day,4000,3000
IMAG0628.JPG,2251611,Day,4000,3000
IMAG0916.JPG,2430350,Day,4000,3000
IMAG1029.JPG,2166325,Day,4000,3000
IMAG1594.JPG,1932296,Day,4000,3000
IMAG1875.JPG,2693077,Day,4000,3000
IMAG0278.JPG,2305518,Day,4000,3000
IMAG0912.JPG,2471723,Day,4000,3000
IMAG1986.JPG,984934,Day,4000,3000
IMAG1270.JPG,2322757,Day,4000,3000
IMAG0669.JPG,2368437,Day,4000,3000
IMAG0972.JPG,2112355,Day,4000,3000
IMAG1905.JPG,1084686,Night,4000,3000
IMAG0562.JPG,2338478,Day,4000,3000
IMAG1182.JPG,2197453,Day,4000,3000
IMAG0507.JPG,2415459,Day,4000,3000
IMAG1508.JPG,2319732,Day,4000,3000
IMAG0551.JPG,2456899,Day,4000,3000
IMAG0203.JPG,2593157,Day,4000,3000
IMAG1710.JPG,2085882,Day,4000,3000
IMAG0679.JPG,2572160,Day,4000,3000
IMAG0277.JPG,2317117,Day,4000,3000
IMAG0150.JPG,2338026,Day,4000,3000
IMAG1065.JPG,2355862,Day,4000,3000
IMAG0794.JPG,2081427,Day,4000,3000
IMAG1983.JPG,2493225,Day,4000,3000
IMAG0283.JPG,2272796,Day,4000,3000
IMAG1767.JPG,1719828,Day,4000,3000
IMAG0018.JPG,2372813,Day,4000,3000
IMAG1607.JPG,2284239,Day,4000,3000
IMAG0421.JPG,2419450,Day,4000,3000
IMAG1930.JPG,1098814,Night,4000,3000
IMAG0630.JPG,2254361,Day,4000,3000
IMAG0744.JPG,2544800,Day,4000,3000
IMAG1025.JPG,2192618,Day,4000,3000
IMAG0623.JPG,2342002,Day,4000,3000
IMAG1021.JPG,2156719,Day,4000,3000
IMAG0005.JPG,2019978,Day,4000,3000
IMAG0377.JPG,2297611,Day,4000,3000
IMAG0948.JPG,2142173,Day,4000,3000
IMAG0759.JPG,2483655,Day,4000,3000
IMAG1618.JPG,2313442,Day,4000,3000
IMAG1770.JPG,1806384,Day,4000,3000
IMAG1298.JPG,2663990,Day,4000,3000
IMAG1582.JPG,2289158,Day,4000,3000
IMAG0612.JPG,2304018,Day,4000,3000
IMAG0224.JPG,2429063,Day,4000,3000
IMAG1066.JPG,2270880,Day,4000,3000
IMAG0100.JPG,2418332,Day,4000,3000
IMAG1587.JPG,2445083,Day,4000,3000
IMAG0404.JPG,2515429,Day,4000,3000
IMAG1539.JPG,2366445,Day,4000,3000
IMAG0340.JPG,2251338,Day,4000,3000
IMAG0716.JPG,2451772,Day,4000,3000
IMAG0650.JPG,2244823,Day,4000,3000
IMAG1888.JPG,2437889,Day,4000,3000
IMAG1503.JPG,2315938,Day,4000,3000
IMAG0860.JPG,1263619,Night,4000,3000
IMAG0369.JPG,2253465,Day,4000,3000
IMAG0495.JPG,2449151,Day,4000,3000
IMAG0318.JPG,2350503,Day,4000,3000
IMAG0824.JPG,2218921,Day,4000,3000
IMAG1437.JPG,2479209,Day,4000,3000
IMAG1898.JPG,1165918,Night,4000,3000
IMAG1320.JPG,2573971,Day,4000,3000
IMAG0016.JPG,2339992,Day,4000,3000
IMAG1695.JPG,2001709,Day,4000,3000
IMAG0288.JPG,2280600,Day,4000,3000
IMAG0118.JPG,2063847,Day,4000,3000
IMAG1783.JPG,1292562,Day,4000,3000
IMAG0257.JPG,2624765,Day,4000,3000
IMAG0909.JPG,2383714,Day,4000,3000
IMAG0067.JPG,2459965,Day,4000,3000
IMAG0641.JPG,2482534,Day,4000,3000
IMAG0642.JPG,2475892,Day,4000,3000
IMAG0535.JPG,2370260,Day,4000,3000
IMAG0017.JPG,2354478,Day,4000,3000
IMAG1135.JPG,1551961,Day,4000,3000
IMAG1292.JPG,2419486,Day,4000,3000
IMAG0401.JPG,2524707,Day,4000,3000
IMAG1831.JPG,2324259,Day,4000,3000
IMAG1885.JPG,2323623,Day,4000,3000
IMAG0414.JPG,2350139,Day,4000,3000
IMAG0966.JPG,2114081,Day,4000,3000
IMAG1346.JPG,2466071,Day,4000,3000
IMAG1326.JPG,2638178,Day,4000,3000
IMAG0874.JPG,2402385,Day,4000,3000
IMAG0065.JPG,2447128,Day,4000,3000
IMAG0519.JPG,2355454,Day,4000,3000
IMAG0545.JPG,2430563,Day,4000,3000
IMAG1785.JPG,1447328,Day,4000,3000
IMAG0500.JPG,2389401,Day,4000,3000
IMAG0496.JPG,2319096,Day,4000,3000
IMAG0432.JPG,2279839,Day,4000,3000
IMAG1397.JPG,2708060,Day,4000,3000
IMAG1176.JPG,2201813,Day,4000,3000
IMAG1206.JPG,2441136,Day,4000,3000
IMAG0807.JPG,1949161,Day,4000,3000
IMAG1760.JPG,1748471,Day,4000,3000
IMAG1209.JPG,2507943,Day,4000,3000
IMAG0214.JPG,2418898,Day,4000,3000
IMAG1083.JPG,1889733,Day,4000,3000
IMAG1391.JPG,2644993,Day,4000,3000
IMAG0248.JPG,2153790,Day,4000,3000
IMAG1823.JPG,919801,Night,4000,3000
IMAG1919.JPG,1095746,Night,4000,3000
IMAG1473.JPG,2289472,Day,4000,3000
IMAG0363.JPG,2327708,Day,4000,3000
IMAG1812.JPG,2479559,Day,4000,3000
IMAG1239.JPG,2396331,Day,4000,3000
IMAG1322.JPG,2633596,Day,4000,3000
IMAG1524.JPG,2399132,Day,4000,3000
IMAG0279.JPG,2288692,Day,4000,3000
IMAG0145.JPG,2451453,Day,4000,3000
IMAG0652.JPG,2230658,Day,4000,3000
IMAG0448.JPG,2375877,Day,4000,3000
IMAG0742.JPG,2467374,Day,4000,3000
IMAG1573.JPG,2439767,Day,4000,3000
IMAG0494.JPG,2066369,Day,4000,3000
IMAG1849.JPG,2202388,Day,4000,3000
IMAG1859.JPG,2449222,Day,4000,3000
IMAG1192.JPG,2327809,Day,4000,3000
IMAG1202.JPG,2399186,Day,4000,3000
IMAG1836.JPG,2394713,Day,4000,3000
IMAG1407.JPG,2555065,Day,4000,3000
IMAG0015.JPG,2365520,Day,4000,3000
IMAG1989.JPG,899580,Day,4000,3000
IMAG0097.JPG,2392275,Day,4000,3000
IMAG0481.JPG,2231248,Day,4000,3000
IMAG1381.JPG,2329795,Day,4000,3000
IMAG1017.JPG,2186749,Day,4000,3000
IMAG1719.JPG,1499002,Day,4000,3000
IMAG1519.JPG,2279589,Day,4000,3000
IMAG0919.JPG,2378939,Day,4000,3000
IMAG0604.JPG,2241830,Day,4000,3000
IMAG0339.JPG,2378906,Day,4000,3000
IMAG0680.JPG,2589615,Day,4000,3000
IMAG0798.JPG,2562888,Day,4000,3000
IMAG0338.JPG,2377388,Day,4000,3000
IMAG0993.JPG,2297733,Day,4000,3000
IMAG1549.JPG,2445286,Day,4000,3000
IMAG1352.JPG,2478975,Day,4000,3000
IMAG0240.JPG,2476392,Day,4000,3000
IMAG0411.JPG,2399148,Day,4000,3000
IMAG1735.JPG,1985841,Day,4000,3000
IMAG1672.JPG,1683938,Day,4000,3000
IMAG0557.JPG,2380209,Day,4000,3000
IMAG0869.JPG,2644831,Day,4000,3000
IMAG0090.JPG,2467716,Day,4000,3000
IMAG0418.JPG,2428679,Day,4000,3000
IMAG0573.JPG,2504769,Day,4000,3000
IMAG1704.JPG,2256637,Day,4000,3000
IMAG1583.JPG,2436563,Day,4000,3000
IMAG0892.JPG,2358064,Day,4000,3000
IMAG1054.JPG,2455355,Day,4000,3000
IMAG1414.JPG,2522874,Day,4000,3000
IMAG1438.JPG,2473051,Day,4000,3000
IMAG1525.JPG,2395305,Day,4000,3000
IMAG1307.JPG,2512818,Day,4000,3000
IMAG1946.JPG,1108352,Night,4000,3000
IMAG0600.JPG,2283660,Day,4000,3000
IMAG1431.JPG,2397904,Day,4000,3000
IMAG0867.JPG,2109318,Day,4000,3000
IMAG0927.JPG,2400214,Day,4000,3000
IMAG0499.JPG,2275001,Day,4000,3000
IMAG0128.JPG,2072837,Day,4000,3000
IMAG0446.JPG,2351847,Day,4000,3000
IMAG0683.JPG,2389289,Day,4000,3000
IMAG0239.JPG,2447685,Day,4000,3000
IMAG0183.JPG,2532753,Day,4000,3000
IMAG1180.JPG,2170056,Day,4000,3000
IMAG1351.JPG,2480923,Day,4000,3000
IMAG0074.JPG,2471366,Day,4000,3000
IMAG0029.JPG,1910670,Day,4000,3000
IMAG1039.JPG,2178039,Day,4000,3000
IMAG1772.JPG,1821746,Day,4000,3000
IMAG0708.JPG,2374579,Day,4000,3000
IMAG0462.JPG,2444050,Day,4000,3000
IMAG1683.JPG,1926780,Day,4000,3000
IMAG1738.JPG,1893369,Day,4000,3000
IMAG0734.JPG,2473292,Day,4000,3000
IMAG1188.JPG,2269314,Day,4000,3000
IMAG1899.JPG,1103831,Night,4000,3000
IMAG1687.JPG,1783137,Day,4000,3000
IMAG1938.JPG,1097086,Night,4000,3000
IMAG1386.JPG,2734479,Day,4000,3000
IMAG1593.JPG,2164208,Day,4000,3000
IMAG0260.JPG,1762920,Day,4000,3000
IMAG0991.JPG,2260313,Day,4000,3000
IMAG1927.JPG,1103163,Night,4000,3000
IMAG0890.JPG,2499596,Day,4000,3000
IMAG1667.JPG,1557059,Day,4000,3000
IMAG0711.JPG,2393241,Day,4000,3000
IMAG1862.JPG,2196516,Day,4000,3000
IMAG1592.JPG,2173825,Day,4000,3000
IMAG1361.JPG,2387836,Day,4000,3000
IMAG0178.JPG,2530912,Day,4000,3000
IMAG1158.JPG,2425951,Day,4000,3000
IMAG0841.JPG,1842932,Day,4000,3000
IMAG0797.JPG,2534148,Day,4000,3000
IMAG0084.JPG,1261220,Night,4000,3000
IMAG0204.JPG,2588138,Day,4000,3000
IMAG1157.JPG,2428005,Day,4000,3000
IMAG1985.JPG,1308787,Day,4000,3000
IMAG0588.JPG,2448456,Day,4000,3000
IMAG0230.JPG,2422657,Day,4000,3000
IMAG0271.JPG,2269308,Day,4000,3000
IMAG1069.JPG,2324423,Day,4000,3000
IMAG0721.JPG,2421531,Day,4000,3000
IMAG1440.JPG,2459645,Day,4000,3000
IMAG0730.JPG,2460729,Day,4000,3000
IMAG1574.JPG,2428525,Day,4000,3000
IMAG1554.JPG,2342946,Day,4000,3000
IMAG0992.JPG,2141134,Day,4000,3000
IMAG1156.JPG,2430963,Day,4000,3000
IMAG0996.JPG,2328268,Day,4000,3000
IMAG1532.JPG,2300707,Day,4000,3000
IMAG1553.JPG,2375728,Day,4000,3000
IMAG1374.JPG,2511049,Day,4000,3000
IMAG1102.JPG,1492590,Day,4000,3000
IMAG0329.JPG,2372656,Day,4000,3000
IMAG1423.JPG,2314805,Day,4000,3000
IMAG0733.JPG,2471138,Day,4000,3000
IMAG1921.JPG,1121171,Night,4000,3000
IMAG0799.JPG,2469473,Day,4000,3000
IMAG1028.JPG,2173297,Day,4000,3000
IMAG1399.JPG,2596138,Day,4000,3000
IMAG0254.JPG,2649004,Day,4000,3000
IMAG0677.JPG,2544836,Day,4000,3000
IMAG1882.JPG,1594458,Day,4000,3000
IMAG0400.JPG,2524510,Day,4000,3000
IMAG0191.JPG,2580314,Day,4000,3000
IMAG0403.JPG,2519819,Day,4000,3000
IMAG1845.JPG,2268732,Day,4000,3000
IMAG0086.JPG,2500522,Day,4000,3000
IMAG1091.JPG,1482626,Day,4000,3000
IMAG1362.JPG,2417848,Day,4000,3000
IMAG0949.JPG,2252201,Day,4000,3000
IMAG0896.JPG,2387514,Day,4000,3000
